workload_id,workload_type,priority,estimated_duration_hours,cpu_requirement,memory_requirement_gb,estimated_energy_kwh,carbon_tolerance,deadline_hours,energy_efficiency_score
WL-0327,Web-Service,Medium,1.01,0.48,19,6.19,Moderate,2.12,0.86
WL-0328,ML-Training,Medium,11.52,0.71,53,6.59,Moderate,19.58,0.62
WL-0329,Data-Processing,High,4.25,0.74,62,3.43,Moderate,9.02,0.75
WL-0330,AI-Inference,Medium,0.39,0.65,34,3.7,Strict,0.81,0.83
WL-0331,Data-Processing,High,4.73,0.68,59,3.24,Strict,7.61,0.79
WL-0332,Data-Processing,High,7.35,0.67,37,6.92,Moderate,12.31,0.75
WL-0333,AI-Inference,High,0.35,0.46,16,7.03,Moderate,0.87,0.87
WL-0334,Data-Processing,High,2.43,0.64,44,2.85,Strict,6.37,0.72
WL-0335,Data-Processing,Critical,2.28,0.69,49,3.07,Strict,4.62,0.74
WL-0336,Data-Processing,Critical,2.02,0.68,4,1.13,Moderate,5.81,0.84
WL-0337,AI-Inference,Critical,0.47,0.57,16,3.02,Moderate,1.1,0.83
WL-0338,AI-Inference,Medium,0.32,0.54,11,3.93,Flexible,0.4,0.77
WL-0339,ML-Training,Critical,8.1,0.84,17,0.88,Strict,17.98,0.76
WL-0340,ML-Training,Medium,4.45,0.94,18,2.59,Strict,9.91,0.66
WL-0341,Data-Processing,High,7.49,0.61,52,2.59,Moderate,11.73,0.7
WL-0342,ML-Training,High,23.0,0.72,55,5.12,Flexible,37.79,0.8
WL-0343,AI-Inference,Medium,0.15,0.54,21,1.52,Flexible,0.36,0.78
WL-0344,AI-Inference,Low,0.31,0.58,58,1.28,Strict,0.62,0.78
WL-0345,Web-Service,High,1.5,0.32,17,8.88,Moderate,2.99,0.86
WL-0346,Data-Processing,Medium,3.25,0.65,27,1.87,Flexible,7.43,0.83
WL-0347,AI-Inference,High,0.13,0.52,19,7.29,Flexible,0.24,0.8
WL-0348,AI-Inference,Low,0.48,0.61,32,7.27,Flexible,0.92,0.85
WL-0349,Data-Processing,Critical,3.52,0.51,9,4.65,Moderate,5.67,0.77
WL-0350,Data-Processing,Medium,7.38,0.58,58,0.84,Moderate,13.7,0.73
WL-0351,Web-Service,Low,0.27,0.47,20,1.25,Moderate,0.55,0.9
WL-0352,Data-Processing,Critical,1.99,0.63,23,2.08,Flexible,3.22,0.73
WL-0353,ML-Training,Medium,15.66,0.84,22,5.71,Moderate,44.02,0.77
WL-0354,Web-Service,Low,0.13,0.49,21,8.26,Flexible,0.29,0.81
WL-0355,AI-Inference,Medium,0.3,0.51,19,7.98,Moderate,0.82,0.83
WL-0356,Data-Processing,Medium,4.59,0.51,14,0.96,Flexible,12.51,0.71
WL-0357,Web-Service,Medium,1.74,0.45,33,2.16,Flexible,4.32,0.84
WL-0358,Web-Service,Low,1.32,0.43,22,4.88,Moderate,3.18,0.86
WL-0359,AI-Inference,High,0.3,0.62,54,6.25,Strict,0.81,0.82
WL-0360,AI-Inference,Critical,0.39,0.56,12,8.15,Flexible,0.52,0.83
WL-0361,Data-Processing,High,6.89,0.53,27,0.73,Moderate,10.74,0.76
WL-0362,ML-Training,Medium,6.74,0.89,45,8.04,Moderate,11.06,0.69
WL-0363,ML-Training,Critical,21.81,0.93,27,8.88,Moderate,31.29,0.68
WL-0364,ML-Training,High,7.4,0.74,7,3.83,Moderate,20.69,0.62
WL-0365,AI-Inference,Low,0.09,0.49,63,9.82,Moderate,0.11,0.83
WL-0366,Data-Processing,Medium,2.35,0.78,51,7.26,Moderate,3.08,0.85
WL-0367,Web-Service,Critical,1.3,0.31,26,6.41,Moderate,2.42,0.85
WL-0368,ML-Training,Low,21.44,0.89,13,9.36,Moderate,38.47,0.7
WL-0369,AI-Inference,Medium,0.38,0.59,9,6.36,Moderate,0.72,0.86
WL-0370,ML-Training,Medium,2.97,0.7,30,8.09,Flexible,5.84,0.68
WL-0371,Data-Processing,Low,7.93,0.56,20,7.41,Flexible,12.65,0.72
WL-0372,Web-Service,High,1.86,0.35,43,7.42,Moderate,5.07,0.87
WL-0373,Data-Processing,High,5.04,0.66,37,1.98,Strict,13.62,0.81
WL-0374,Data-Processing,Critical,6.64,0.73,34,3.09,Strict,11.57,0.82
WL-0375,AI-Inference,Medium,0.07,0.58,39,2.62,Flexible,0.2,0.79
WL-0376,Web-Service,High,0.98,0.25,30,7.55,Moderate,2.18,0.88
WL-0377,Data-Processing,Low,1.57,0.55,53,3.48,Flexible,3.11,0.84
WL-0378,AI-Inference,Low,0.12,0.54,23,2.74,Moderate,0.34,0.89
WL-0379,AI-Inference,Medium,0.31,0.52,25,2.01,Moderate,0.71,0.79
WL-0380,ML-Training,Critical,4.21,0.72,35,9.02,Strict,9.97,0.63
WL-0381,ML-Training,High,2.05,0.74,47,7.01,Strict,3.77,0.8
WL-0382,ML-Training,Low,2.89,0.92,6,6.34,Flexible,7.57,0.61
WL-0383,AI-Inference,Low,0.42,0.55,57,6.32,Flexible,0.55,0.79
WL-0384,Data-Processing,Medium,2.1,0.73,48,3.2,Moderate,5.75,0.77
WL-0385,Web-Service,High,1.42,0.44,45,7.2,Moderate,2.77,0.88
WL-0386,Web-Service,Critical,1.61,0.45,13,7.18,Flexible,2.16,0.83
WL-0387,ML-Training,High,5.25,0.95,53,3.66,Moderate,11.77,0.74
WL-0388,AI-Inference,High,0.25,0.44,63,7.24,Moderate,0.59,0.89
WL-0389,Data-Processing,High,2.1,0.56,28,2.27,Moderate,4.26,0.7
WL-0390,AI-Inference,Critical,0.4,0.66,46,3.49,Strict,1.11,0.87
WL-0391,Web-Service,Critical,0.11,0.43,60,9.89,Flexible,0.15,0.86
WL-0392,Web-Service,Medium,0.56,0.38,30,0.87,Flexible,1.3,0.94
WL-0393,Data-Processing,Medium,6.6,0.61,17,1.9,Strict,15.75,0.77
WL-0394,Data-Processing,Medium,4.72,0.77,31,7.81,Strict,12.45,0.79
WL-0395,AI-Inference,Critical,0.48,0.58,6,3.2,Flexible,0.94,0.9
WL-0396,ML-Training,Medium,12.44,0.92,63,3.49,Strict,19.92,0.78
WL-0397,Data-Processing,High,3.1,0.7,29,3.02,Strict,5.0,0.73
WL-0398,Web-Service,Low,1.91,0.33,55,8.13,Strict,5.09,0.86
WL-0399,AI-Inference,High,0.06,0.66,53,6.2,Flexible,0.12,0.87
WL-0400,Web-Service,Critical,1.11,0.37,39,7.39,Flexible,2.43,0.93
WL-0401,Web-Service,Critical,0.13,0.33,5,1.44,Strict,0.32,0.84
WL-0402,Web-Service,Medium,1.35,0.4,50,2.06,Flexible,3.48,0.94
WL-0403,Data-Processing,Medium,3.17,0.66,59,1.65,Flexible,9.23,0.71
WL-0404,ML-Training,Low,19.13,0.9,52,4.79,Flexible,40.19,0.79
WL-0405,AI-Inference,High,0.28,0.54,54,1.37,Flexible,0.53,0.87
WL-0406,Web-Service,Low,1.14,0.28,8,2.04,Moderate,1.69,0.94
WL-0407,Web-Service,Critical,1.01,0.48,54,7.69,Flexible,2.68,0.8
WL-0408,AI-Inference,Low,0.15,0.46,51,2.65,Strict,0.42,0.87
WL-0409,AI-Inference,Low,0.3,0.54,6,4.8,Flexible,0.67,0.81
WL-0410,ML-Training,Low,23.73,0.93,24,8.69,Flexible,34.2,0.68
WL-0411,ML-Training,Critical,15.08,0.84,39,9.96,Strict,38.77,0.63
WL-0412,ML-Training,High,15.75,0.71,38,8.31,Moderate,20.0,0.66
WL-0413,ML-Training,High,3.21,0.78,56,4.11,Flexible,5.47,0.63
WL-0414,AI-Inference,High,0.49,0.69,30,0.72,Moderate,0.88,0.82
WL-0415,ML-Training,High,21.13,0.93,11,1.4,Moderate,54.56,0.77
WL-0416,Data-Processing,Medium,7.22,0.55,7,3.13,Strict,18.47,0.82
WL-0417,ML-Training,High,19.85,0.84,62,5.75,Moderate,27.42,0.74
WL-0418,AI-Inference,High,0.39,0.41,21,7.54,Flexible,0.51,0.81
WL-0419,ML-Training,Low,4.35,0.82,20,2.01,Strict,12.23,0.67
WL-0420,Web-Service,Low,0.26,0.25,44,8.22,Moderate,0.41,0.89
WL-0421,Web-Service,Critical,0.42,0.49,4,6.97,Moderate,0.94,0.88
WL-0422,Web-Service,Critical,1.04,0.27,16,8.34,Moderate,1.89,0.89
WL-0423,AI-Inference,Low,0.49,0.52,49,4.49,Strict,1.12,0.79
WL-0424,ML-Training,Medium,23.51,0.8,40,2.25,Strict,52.77,0.65
WL-0425,Web-Service,Low,0.35,0.21,47,4.25,Flexible,0.6,0.91
WL-0426,ML-Training,Low,14.64,0.86,30,1.52,Flexible,29.35,0.77
WL-0427,Web-Service,Critical,1.48,0.44,28,6.77,Strict,2.5,0.85
WL-0428,Web-Service,Medium,1.73,0.24,35,5.14,Moderate,3.44,0.83
WL-0429,Data-Processing,Low,1.02,0.64,51,4.86,Moderate,1.6,0.83
WL-0430,ML-Training,Low,21.39,0.74,34,7.96,Strict,28.18,0.69
WL-0431,AI-Inference,High,0.21,0.59,57,5.03,Moderate,0.35,0.85
WL-0432,AI-Inference,Critical,0.15,0.67,28,2.58,Strict,0.32,0.79
WL-0433,Web-Service,High,0.31,0.42,59,6.75,Moderate,0.79,0.9
WL-0434,ML-Training,High,3.39,0.94,55,2.82,Strict,9.74,0.78
WL-0435,Web-Service,High,1.29,0.49,53,7.05,Strict,2.53,0.94
WL-0436,Data-Processing,Critical,1.01,0.56,20,7.11,Moderate,2.28,0.75
WL-0437,AI-Inference,Critical,0.35,0.69,34,6.43,Flexible,0.63,0.8
WL-0438,Data-Processing,Critical,3.5,0.73,39,0.66,Flexible,4.85,0.77
WL-0439,Web-Service,Low,0.54,0.46,10,6.97,Strict,1.08,0.86
WL-0440,Web-Service,Low,0.52,0.26,62,6.08,Flexible,1.55,0.81
WL-0441,AI-Inference,Low,0.45,0.43,55,2.88,Strict,0.98,0.84
WL-0442,Web-Service,Low,0.18,0.41,63,8.5,Flexible,0.48,0.9
WL-0443,Data-Processing,Low,1.7,0.65,31,7.12,Moderate,4.35,0.79
WL-0444,Web-Service,High,0.15,0.23,16,2.13,Flexible,0.25,0.8
WL-0445,ML-Training,Critical,18.11,0.75,7,6.79,Flexible,41.91,0.63
WL-0446,ML-Training,High,4.59,0.93,57,7.02,Flexible,11.2,0.73
WL-0447,Web-Service,Critical,1.0,0.2,10,1.31,Flexible,1.58,0.88
WL-0448,Web-Service,High,0.89,0.33,60,4.8,Strict,1.92,0.82
WL-0449,Web-Service,High,1.91,0.33,24,2.97,Flexible,5.48,0.92
WL-0450,ML-Training,Low,6.32,0.77,59,6.02,Strict,9.02,0.69
WL-0451,ML-Training,Critical,7.05,0.88,29,9.14,Strict,17.51,0.62
WL-0452,Web-Service,Medium,0.2,0.25,62,0.98,Strict,0.44,0.92
WL-0453,ML-Training,High,7.31,0.84,20,3.65,Flexible,19.68,0.71
WL-0454,ML-Training,Medium,11.41,0.91,48,6.54,Strict,16.73,0.76
WL-0455,AI-Inference,High,0.08,0.62,33,2.06,Moderate,0.25,0.86
WL-0456,Data-Processing,Low,1.21,0.73,59,8.19,Flexible,1.63,0.82
WL-0457,Web-Service,Medium,1.54,0.44,34,9.55,Flexible,3.06,0.81
WL-0458,Data-Processing,Medium,1.4,0.69,26,3.47,Strict,1.97,0.7
WL-0459,Data-Processing,Critical,6.27,0.58,22,5.17,Flexible,9.22,0.82
WL-0460,Data-Processing,Critical,4.51,0.74,33,0.75,Strict,5.81,0.77
WL-0461,Data-Processing,High,7.2,0.61,37,1.92,Moderate,15.94,0.71
WL-0462,Web-Service,High,0.88,0.44,46,0.97,Moderate,2.37,0.95
WL-0463,AI-Inference,Critical,0.38,0.57,17,2.78,Strict,1.04,0.82
WL-0464,AI-Inference,Medium,0.33,0.64,12,1.11,Moderate,0.87,0.84
WL-0465,ML-Training,Low,21.04,0.76,20,6.44,Moderate,61.67,0.78
WL-0466,Web-Service,Medium,1.14,0.34,28,7.32,Flexible,2.45,0.84
WL-0467,ML-Training,Critical,10.79,0.76,43,6.94,Strict,16.27,0.63
WL-0468,Data-Processing,Medium,3.85,0.55,27,7.36,Strict,7.61,0.76
WL-0469,ML-Training,Critical,8.81,0.89,22,9.48,Strict,16.76,0.77
WL-0470,Data-Processing,Medium,7.62,0.61,29,7.99,Strict,18.42,0.83
WL-0471,Data-Processing,Low,4.8,0.56,46,1.3,Moderate,8.43,0.83
WL-0472,Data-Processing,Low,7.04,0.65,53,2.65,Flexible,13.12,0.78
WL-0473,Web-Service,Low,1.68,0.28,47,7.04,Flexible,2.89,0.82
WL-0474,ML-Training,High,23.85,0.77,16,8.37,Moderate,53.82,0.64
WL-0475,ML-Training,Low,10.68,0.76,49,6.2,Strict,21.79,0.62
WL-0476,ML-Training,Medium,13.98,0.85,35,2.56,Moderate,32.97,0.72
WL-0477,Web-Service,Low,0.17,0.32,62,7.63,Strict,0.37,0.81
WL-0478,Data-Processing,Low,7.94,0.53,4,9.16,Flexible,21.25,0.83
WL-0479,ML-Training,Low,14.89,0.78,19,7.04,Moderate,30.53,0.71
WL-0480,AI-Inference,Critical,0.17,0.49,62,0.53,Strict,0.41,0.77
WL-0481,AI-Inference,High,0.22,0.64,42,1.17,Flexible,0.6,0.76
WL-0482,Data-Processing,High,1.76,0.59,57,0.75,Flexible,4.51,0.78
WL-0483,AI-Inference,Medium,0.14,0.64,8,2.78,Moderate,0.25,0.78
WL-0484,AI-Inference,High,0.08,0.48,12,5.44,Moderate,0.24,0.86
WL-0485,ML-Training,Critical,20.25,0.86,63,4.26,Moderate,59.52,0.67
WL-0486,ML-Training,Low,13.43,0.72,64,0.9,Flexible,37.25,0.69
WL-0487,ML-Training,Low,13.45,0.75,56,8.78,Flexible,25.48,0.78
WL-0488,AI-Inference,Medium,0.08,0.68,20,9.03,Moderate,0.11,0.89
WL-0489,AI-Inference,Critical,0.28,0.46,31,7.75,Strict,0.79,0.82
WL-0490,Web-Service,Low,1.97,0.45,19,3.39,Strict,2.38,0.94
WL-0491,AI-Inference,Medium,0.4,0.5,30,0.94,Flexible,0.95,0.88
WL-0492,ML-Training,Low,3.17,0.87,36,4.0,Strict,7.13,0.74
WL-0493,ML-Training,Critical,19.67,0.77,20,6.04,Flexible,37.87,0.6
WL-0494,AI-Inference,High,0.39,0.57,57,5.75,Strict,1.01,0.87
WL-0495,AI-Inference,Critical,0.09,0.56,44,9.54,Flexible,0.13,0.87
WL-0496,ML-Training,Medium,8.48,0.89,15,8.96,Flexible,12.99,0.71
WL-0497,Web-Service,Low,0.66,0.24,30,6.41,Flexible,1.97,0.86
WL-0498,AI-Inference,Low,0.12,0.59,45,4.7,Strict,0.19,0.81
WL-0499,Web-Service,High,1.09,0.27,45,2.82,Strict,1.58,0.89
WL-0500,ML-Training,Critical,20.39,0.95,60,6.8,Flexible,57.59,0.78
